Unnamed: 0,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
211,Naji Marshall,NOP,25,77,40,37,23.3,9.1,3.2,7.4,43.3,0.9,2.8,30.3,1.8,2.3,78.9,0.6,3.0,3.6,2.5,1.3,0.7,0.2,1.5,18.5,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Bol Bol,ORL,23,70,26,44,21.5,9.1,3.7,6.8,54.6,0.4,1.6,26.5,1.2,1.5,75.9,1.0,4.8,5.8,1.0,1.6,0.4,1.2,1.3,20.8,6.0,0.0,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Santi Aldama,MEM,22,77,47,30,21.8,9.0,3.2,6.8,47.0,1.2,3.5,35.3,1.4,1.9,75.0,1.1,3.7,4.8,1.3,0.8,0.6,0.6,1.9,19.6,4.0,0.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Daniel Gafford,WAS,24,78,32,46,20.6,9.0,3.7,5.1,73.2,0.0,0.0,0.0,1.6,2.4,67.9,2.1,3.5,5.6,1.1,1.1,0.4,1.3,2.4,21.3,10.0,0.0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Jose Alvarado,NOP,25,61,30,31,21.5,9.0,3.3,8.0,41.1,1.4,4.0,33.6,1.1,1.3,81.3,0.5,1.9,2.3,3.0,1.3,1.1,0.2,2.0,18.8,0.0,0.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Mark Williams,CHA,21,43,18,25,19.3,9.0,3.7,5.8,63.7,0.0,0.0,0.0,1.6,2.3,69.1,2.2,4.9,7.1,0.4,0.9,0.7,1.0,2.2,22.3,11.0,0.0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
217,AJ Griffin,ATL,19,72,34,38,19.5,8.9,3.4,7.4,46.5,1.4,3.6,39.0,0.6,0.7,89.4,0.5,1.6,2.1,1.0,0.6,0.6,0.2,1.2,14.6,0.0,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Royce O'Neale,BKN,30,76,42,34,31.7,8.8,3.0,7.8,38.6,2.1,5.5,38.9,0.7,0.9,72.5,0.7,4.3,5.1,3.7,1.5,0.9,0.6,3.1,23.5,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Terance Mann,LAC,26,81,44,37,23.1,8.8,3.4,6.5,51.9,1.0,2.4,38.9,1.1,1.5,78.0,1.0,2.5,3.4,2.3,1.0,0.5,0.3,1.8,17.7,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Shaquille Harrison,LAL,29,5,1,4,24.0,8.8,3.0,7.2,41.7,0.6,2.0,30.0,2.2,3.0,73.3,0.2,4.2,4.4,6.0,1.2,2.2,0.4,2.4,29.7,1.0,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
